index,index_local,displayName,formattedAddress,location,zip,type
0,0,"{'languageCode': 'en', 'text': ""Joey B's Food & Drink Manchester""}","14445 Manchester Rd, Manchester, MO 63011, USA","{'latitude': 38.593905, 'longitude': -90.519426}",63021,restaurant
1,1,"{'languageCode': 'en', 'text': 'Texas Roadhouse'}","14870 Manchester Rd, Ballwin, MO 63011, USA","{'latitude': 38.5925432, 'longitude': -90.54226249999999}",63021,restaurant
2,2,"{'languageCode': 'en', 'text': 'Sugarfire 44'}","932 Meramec Station Rd, Valley Park, MO 63088, USA","{'latitude': 38.537149500000005, 'longitude': -90.4974234}",63021,restaurant
3,3,"{'languageCode': 'en', 'text': 'Shack Breakfast & Lunch'}","13645 Big Bend Rd Suite 105, Kirkwood, MO 63122, USA","{'latitude': 38.5685722, 'longitude': -90.4778704}",63021,restaurant
4,4,"{'languageCode': 'en', 'text': 'Original Shawarma House'}","14560 Manchester Rd Suite 29, Ballwin, MO 63011, USA","{'latitude': 38.5922906, 'longitude': -90.5268736}",63021,restaurant
5,5,"{'languageCode': 'en', 'text': 'The Corner Pub and Grill'}","13645 Big Bend Rd Suite 105, Kirkwood, MO 63122, USA","{'latitude': 38.5680915, 'longitude': -90.4780914}",63021,restaurant
6,6,"{'languageCode': 'en', 'text': 'QuikTrip'}","14800 Manchester Rd, Ballwin, MO 63011, USA","{'latitude': 38.5923031, 'longitude': -90.5385572}",63021,restaurant
7,7,"{'languageCode': 'en', 'text': 'Culver’s'}","14444 Manchester Rd, Manchester, MO 63011, USA","{'latitude': 38.5929537, 'longitude': -90.51935619999999}",63021,restaurant
8,8,"{'languageCode': 'en', 'text': '1356 Public House'}","1356 Big Bend Rd, Ballwin, MO 63021, USA","{'latitude': 38.566538099999995, 'longitude': -90.4974469}",63021,restaurant
9,9,"{'languageCode': 'en', 'text': 'Panera Bread'}","14646 Manchester Rd, Ballwin, MO 63011, USA","{'latitude': 38.5924663, 'longitude': -90.5295988}",63021,restaurant
10,10,"{'languageCode': 'en', 'text': 'Bowlero Lakeside'}","1254 Dougherty Ferry Rd, Valley Park, MO 63088, USA","{'latitude': 38.5657043, 'longitude': -90.476916}",63021,restaurant
11,11,"{'languageCode': 'en', 'text': 'QuikTrip'}","604 Big Bend Rd, Manchester, MO 63021, USA","{'latitude': 38.5676661, 'longitude': -90.52433459999999}",63021,restaurant
12,12,"{'languageCode': 'en', 'text': 'Starbucks'}","922 Meramec Station Rd, Valley Park, MO 63088, USA","{'latitude': 38.536508999999995, 'longitude': -90.49645199999999}",63021,restaurant
13,13,"{'languageCode': 'en', 'text': ""Wendy's""}","14799 Manchester Rd, Ballwin, MO 63011, USA","{'latitude': 38.5934345, 'longitude': -90.5363461}",63021,restaurant
14,14,"{'languageCode': 'en', 'text': 'Minerva Indian Cuisine'}","14560 Manchester Rd # 9, Ballwin, MO 63011, USA","{'latitude': 38.5922651, 'longitude': -90.52559769999999}",63021,restaurant
